created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,Sentiment Analysis (Label)
Thu Oct 14 23:56:52 +0000 2021,1.4487999999873103e+18,"@NatomasSlimm On the flip side kyrie never promoted vaccines. And altho its becoming more and more mandated to get this covid shot to the point where mfs won't have no choice"", kyrie accepting the consequences and sacrificing money for what he supposedly believes in, is just like what ali did""",0.0,1.0,0,0.0,en,491945109,1448793032296337411,BinksWinston,https://twitter.com/BinksWinston/status/1448799999987310592,Neutral
Thu Oct 14 23:56:40 +0000 2021,1.448799953376088e+18,@Divvythetruth @drsanjaygupta @joerogan @CNN The studies I linked to are for the treatment of covid.I think you absolutely can have it both ways (get vaccinated and use ivermectin). You mean the Big Pharma coopted FDA tells me to get the vaccine based on evidence supplied by Big Pharma?  No conflict of interest there…,0.0,1.0,0,0.0,en,1299030431669444608,1448470211502477312,AngryCfa,https://twitter.com/AngryCfa/status/1448799953376088067,Neutral
Thu Oct 14 23:56:38 +0000 2021,1.4487999447358707e+18,"A key federal advisory committee voted unanimously Thursday to recommend emergency authorization of a booster shot for older and more vulnerable recipients of Moderna’s COVID-19 vaccine, a sign that millions of Americans who received their...  https://t.co/UV0wnm1WHg",0.0,1.0,1,1.0,en,2179951,1448799944735870982,wlabovitz,https://twitter.com/wlabovitz/status/1448799944735870982,Neutral
Thu Oct 14 23:56:20 +0000 2021,1.44879986868054e+18,@POTUS There is no availability of covid vaccine for afghani parole in fort bliss military  camp in new Mexico for last 10 days,0.0,0.0,0,0.0,en,896059908579315712,1448698405899968514,fahim_merza,https://twitter.com/fahim_merza/status/1448799868680540163,Neutral
Thu Oct 14 23:56:16 +0000 2021,1.4487998525283407e+18,@kjs2077 @drsanjaygupta @joerogan Wait you got vaccinated- how or why did you catch COVID.  The polo vaccine works you don’t get it.  The measles vaccine works you don’t get it.  So the COVID vaccine is what ?!? keeps you from the 0.01% that die form this without other issues,0.0,0.0,0,0.0,en,1366897946340524038,1448470211502477312,fester542,https://twitter.com/fester542/status/1448799852528340995,Negative
Thu Oct 14 23:55:50 +0000 2021,1.4487997410857329e+18,"7pm w/ @LarryElder: Interview with local Orlando Disney worker leading a rally against vaccine mandates  How Amish communities became the first to achieve Covid herd immunity"" without higher death rate, shutdown, masks or vaccines. 🎧 ➡️️ https://t.co/BD9ev7yn8T https://t.co/7UJPtguAwv""",0.0,0.0,0,0.0,en,76793189,1448799741085732868,660KSKY,https://twitter.com/660KSKY/status/1448799741085732868,Negative
Thu Oct 14 23:55:49 +0000 2021,1.4487997395000607e+18,"Covid world has me thinking of Roger Zelazny’s Damnation Alley from time to time. In that book, neoprimitive mobs attack scientists and intellectuals who they blame for destroying the world, and the hero must drive through a hellscape wasteland to deliver a plague vaccine.",0.0,1.0,0,1.0,en,157829139,1448799739500060672,pulpifieddan,https://twitter.com/pulpifieddan/status/1448799739500060672,Neutral
Thu Oct 14 23:55:48 +0000 2021,1.4487997315520676e+18,"The Ministry of Health (MOH) will be starting to administer Covid-19 vaccine booster dose to senior citizens aged 60 and above and frontliners who have completed vaccination at least six months ago, said its minister, Khairy Jamaluddin.  # # # # # # #  https://t.co/9wAQJXcppA",0.0,0.0,0,0.0,en,1254688664249987072,1448799731552067586,1st_malaysia,https://twitter.com/1st_malaysia/status/1448799731552067586,Neutral
Thu Oct 14 23:55:45 +0000 2021,1.4487997192290673e+18,"@Psyched55 @tedcruz Then came Donald? He only gave blacks and Latinos their respect to feed their own families! Not one American death in 18 months in Afghanistan! Donald gave us Covid vaccines in nine months, and no women and children were being raped and sold along the Mexican border. Apologize!!",0.0,0.0,0,2.0,en,4712169379,1448641381661122562,IsaacELevy1,https://twitter.com/IsaacELevy1/status/1448799719229067270,Positive
Thu Oct 14 23:55:40 +0000 2021,1.4487996985764127e+18,"#BREAKING - 50% of Bajans age 12+ are now fully vaccinated  ~63% received at least 1 COVID-19 vaccine dose. Barbados records 320 new COVID-19 cases out of 2,551 tests - taking tally to 12,105 (3,097 active*) [578 state isolation + 2,519 home isolation]  positivity rate at 12% https://t.co/1uCBeH70QT",23.0,0.0,72,117.0,en,872258602786017281,1448799698576412681,KevzPolitics,https://twitter.com/KevzPolitics/status/1448799698576412681,Positive
Thu Oct 14 23:55:36 +0000 2021,1.4487996836362035e+18,"89.0% (4,123,354) of eligible people 12 and older in B.C. have received their first dose of COVID-19 vaccine and 82.9% (3,842,247) have received their second dose.""""",0.0,0.0,1,4.0,en,3085629857,1448799683636203531,Cycling_604,https://twitter.com/Cycling_604/status/1448799683636203531,Neutral
Thu Oct 28 23:59:55 +0000 2021,1.4538742006875628e+18,"@SaraThatcherCA Don’t you have a fake moon landing to disprove? Or are you too busy trying to determine what kind of 5G signal the COVID vaccine gives to the magnetized population? Quick…JFK Jr. just returned from his trip around the world, proving once and for all the Earth is FLAT!",0.0,1.0,0,0.0,en,3214671970,1453799369090772995,WiseChoice78,https://twitter.com/WiseChoice78/status/1453874200687562753,Neutral
Thu Oct 28 23:59:52 +0000 2021,1.4538741871693783e+18,Thailand opens its doors to vaccinated tourists from more than 40 countries as it seeks to regain its status as a prime tourism destination in Southeast Asia. Read more…  #Thailand #COVID19 #CovidVaccine #COVIDVaccination  (@ucanindia) https://t.co/PQWvawfklk,0.0,0.0,0,0.0,en,1484466666,1453874187169378333,thecovidsite,https://twitter.com/thecovidsite/status/1453874187169378333,Neutral
Thu Oct 28 23:59:50 +0000 2021,1.453874179250405e+18,"@Marszucs @KagroX If at least 1% of people with covid will die, and 1% are have left their job due to vaccine mandates... 👀",0.0,0.0,0,1.0,en,809007582782160896,1453691150393610247,ZuneZeroUltra,https://twitter.com/ZuneZeroUltra/status/1453874179250405385,Positive
Thu Oct 28 23:59:50 +0000 2021,1.4538741774678385e+18,"China, wearing a Bane mask: ah you think covid-19 is your ally? you merely adopted the plague. i contracted it, treated it. i didn't ignore it until i had already developed a vaccine, by then it was nothing to me but periodic lockdowns!  USA, wearing a Batman mask: *coughs dryly*",0.0,0.0,0,2.0,en,608682262,1453874177467838470,GravidTopiary,https://twitter.com/GravidTopiary/status/1453874177467838470,Positive
Thu Oct 28 23:59:47 +0000 2021,1.45387416737221e+18,I’m worried. My step son and his entire family including two small children have tested positive for Covid. He had been resisting the vaccine until recently due to misinformation. He and his wife just got their 2nd dose a few days prior to being infected. Please get vaccinated.,0.0,2.0,0,6.0,en,109536111,1453874167372210176,maritimemaggie,https://twitter.com/maritimemaggie/status/1453874167372210176,Positive
Thu Oct 28 23:59:46 +0000 2021,1.4538741610430587e+18,@nevancik1 @TheLeoTerrell You also forgotthe percentage who are dying of covid because they refuae to get a very safe and effective vaccine!,0.0,0.0,0,0.0,en,2269639907,1453767615877292049,goofy1148,https://twitter.com/goofy1148/status/1453874161043058702,Positive
Thu Oct 28 23:59:31 +0000 2021,1.4538740998817175e+18,"Ontario will not require students to be vaccinated against COVID-19 to attend school and will not add the vaccine to its list of mandatory immunizations, which includes illnesses like polio and measles, the province's top doctor says.  https://t.co/l0R2LajAnk",0.0,0.0,0,1.0,en,312412918,1453874099881717777,MeetJess,https://twitter.com/MeetJess/status/1453874099881717777,Neutral
Thu Oct 28 23:59:24 +0000 2021,1.453874068046991e+18,"@funder @weneed2resist So, how many people who are refusing to get the covid vaccine, hey the flu vaccine, or used to het the flu vaccine? #Resist #COVID19 #GetVaccinated #Covid",0.0,0.0,0,0.0,en,1367281504762679299,1453874068046991367,BelliBooti,https://twitter.com/BelliBooti/status/1453874068046991367,Neutral
Thu Oct 28 23:59:21 +0000 2021,1.4538740560216924e+18,"There are only 4 days left until the vaccine mandate deadline on November 1! Check out our newsletter to get the latest info on testing, COVID-19 campus clearance and check-in procedures, and more: https://t.co/j6W1O1ZIjI https://t.co/b7Yo175zty",0.0,0.0,0,1.0,en,48007841,1453874056021692419,noce_edu,https://twitter.com/noce_edu/status/1453874056021692419,Neutral
Thu Oct 28 23:59:16 +0000 2021,1.4538740353731953e+18,@CraigUnthank @natalie_d22 @Dom_Perrottet @Kmart_Australia @woolworths @LiberalAus @LiberalNSW learn to read. 629 reports out of which only 9 were actually connected to the vaccine. 9 out of our current vax amount is 0.00000026%. 629 is 0.0000183%. how many have died of covid? https://t.co/AIHuL1etvQ,0.0,1.0,0,3.0,en,469821914,1451329333742563351,bigsufjanfan,https://twitter.com/bigsufjanfan/status/1453874035373195270,Positive
Thu Oct 28 23:59:15 +0000 2021,1.4538740303903007e+18,@MATTHARDYBRAND Amen.  Why do we need to hear commercials for the Covid Vaccine at every commercial break. Enough is enough. What is the world waiting for 100% vaccinated never going to happen,0.0,1.0,0,7.0,en,24026694,1453869654468964353,AJMII,https://twitter.com/AJMII/status/1453874030390300672,Neutral
Thu Oct 28 23:59:12 +0000 2021,1.453874017568379e+18,I’m glad that people who understand how covid and vaccines work are in charge and not random conservative politician gronks who get mad that they have to show their vaccine certificate if they want to enter a shop,0.0,0.0,0,0.0,en,2295666326,1453870217486999556,Jacurtis95,https://twitter.com/Jacurtis95/status/1453874017568378884,Neutral
Thu Oct 28 23:59:11 +0000 2021,1.4538740158446428e+18,Many of the unvaccinated have Covid antibodies! Vaccine hesitancy! There r 120 million ppl with these antibodies! They r ppl have gotten Covid and recovered!,0.0,0.0,1,3.0,en,1054765588852170752,1453874015844642832,Richardkimble45,https://twitter.com/Richardkimble45/status/1453874015844642832,Negative
Thu Oct 28 23:59:05 +0000 2021,1.4538739906620416e+18,Pregnant or breastfeeding? Here’s what we know about risks of getting the COVID-19 vaccine during pregnancy vs. risks of getting the disease.  https://t.co/yOgQOdEK1l https://t.co/AeM7ptALpE,0.0,0.0,0,0.0,en,407798922,1453873990662041673,WilmingtonVAMC,https://twitter.com/WilmingtonVAMC/status/1453873990662041673,Negative
Thu Oct 28 23:59:02 +0000 2021,1.453873976447545e+18,"It's weird to see how many nurses have agreed with me in distrust of the Covid situation and making the vaccine mandatory for healthcare workers. Refreshing too, in a way. Makes me feel like I'm not going off the deep end.",0.0,0.0,0,2.0,en,828364868625563650,1453873976447545374,KrokindileDunde,https://twitter.com/KrokindileDunde/status/1453873976447545374,Positive
Thu Oct 28 23:58:54 +0000 2021,1.4538739425827348e+18,"Children Shouldn’t Get COVID-19 Vaccines, Harvard Professor Says https://t.co/02gEsEpMBa",0.0,0.0,0,0.0,en,85668688,1453873942582734864,DaiquiriFouch,https://twitter.com/DaiquiriFouch/status/1453873942582734864,Negative
Thu Oct 28 23:58:53 +0000 2021,1.453873941081174e+18,@downrightdpad @BlGOLAF Happy to announce I got COVID and was perfectly fine! Sad to announce my grandpa and another close friend of mine got more sick from the vaccine then I did from COVID :(,0.0,0.0,0,1.0,en,1111361867107237888,1452808460073058309,EverWokest,https://twitter.com/EverWokest/status/1453873941081174072,Negative
Thu Oct 28 23:58:43 +0000 2021,1.4538738995365888e+18,"UP Assistant Professor Exam 2021: UP Assistant Professor will be out of the exam for not getting the vaccine, see details. UP Assistant Professor Exam 2021 Guidelines about Covid 19 Vaccination Certificate for Candidates https://t.co/fwf8PvShBa",0.0,0.0,0,0.0,en,1232200253123813376,1453873899536588800,ThePiPaNews,https://twitter.com/ThePiPaNews/status/1453873899536588800,Negative
Thu Oct 28 23:58:30 +0000 2021,1.4538738409169467e+18,"@scrowder The vaccine clearly doesn't work. No bull sh** I had a friend that was fully vaccinated and 31 years old just die whole on a ventilator from covid. No prior health conditions, he also had covid a year ago and was fine in 3 or 4 days. The vaccine is useless",0.0,0.0,0,0.0,en,1141147603641491467,1453845735649255426,freeworld_case,https://twitter.com/freeworld_case/status/1453873840916946945,Negative
Thu Oct 28 23:58:15 +0000 2021,1.4538737799317627e+18,@MNSNOWBRO @monolithic87 @Newsweek @adampiore so let's let covid 19 run rampant until Rod Schwarze says the covid vaccine has been out long enough to satisfy his suspicions,0.0,0.0,0,2.0,en,1002650002097868800,1453314681653927945,greatsweetleaf,https://twitter.com/greatsweetleaf/status/1453873779931762688,Negative
Thu Oct 28 23:57:53 +0000 2021,1.4538736895990948e+18,"There will be no investigation, no collation of relevant data.  They will never allow the truth to come out…. Any death within 28 days of Covid - Covid death. Any death within 28 days of vaccine - not recorded as vaccine death.  #NoVaccinePassports",0.0,0.0,0,0.0,en,1391074944545611781,1453873689599094815,Macstephens15,https://twitter.com/Macstephens15/status/1453873689599094815,Negative
Thu Oct 28 23:57:50 +0000 2021,1.453873675221049e+18,"@Fentonizer @StuartR89012353 @HelpfulPunter @TheFreds @RightJudgeIam @Dan__Stevens Reading this tells me the vaccine isn’t effective, sorry. If I get it, now I can die with Covid instead of dying of Covid.  Ok.",0.0,1.0,0,0.0,en,344104000,1453641460100775939,cpp_mike,https://twitter.com/cpp_mike/status/1453873675221049344,Negative
Thu Oct 28 23:57:49 +0000 2021,1.453873671659868e+18,"@juan_cambeiro @nmahmoud21 @walidgellad Does the vaccine prevent long covid? As an additional note, according to the data being discussed 30% of people who take the vaccine have 'long covid'.",0.0,0.0,0,0.0,en,1199166960287674368,1451267619559026692,torquor,https://twitter.com/torquor/status/1453873671659868162,Negative
Thu Oct 28 23:57:32 +0000 2021,1.4538735990942188e+18,⁦people like ⁦@RandPaul⁩ sow doubt about vaccines simply because there is more money to be made from treating people after they get sick.  “Rand Paul⁩ discloses 16 months late that his wife bought stock in company behind covid treatment” https://t.co/xdUJFhwgEP,0.0,0.0,0,1.0,en,17629059,1453873599094218758,Jonathan_Leahy,https://twitter.com/Jonathan_Leahy/status/1453873599094218758,Neutral
Thu Oct 28 23:57:31 +0000 2021,1.4538735952649953e+18,Florida is silent on messaging about COVID vaccine boosters. “Florida’s state coronavirus website has  no information about booster shots.”  https://t.co/OLKeLnYSz6,0.0,2.0,2,1.0,en,180962804,1453873595264995336,blancamesa,https://twitter.com/blancamesa/status/1453873595264995336,Neutral
Thu Oct 28 23:57:30 +0000 2021,1.453873591662039e+18,"Hesitants should watch Why People With PhD's Are More Hesitant To Take The Covid-19 Vaccine"" on YouTube https://t.co/4TCKxnWAfd""",0.0,0.0,0,0.0,en,1045775798983151616,1453873591662039040,Rowade4,https://twitter.com/Rowade4/status/1453873591662039040,Neutral
Thu Oct 28 23:57:28 +0000 2021,1.453873584003244e+18,"@Megzondemand @peterrowen_ Stop listening to the news sheep! Remember the flu that killed 60,000+ a year now kills 0 everything is Covid to install fear!! Watch what your vaccine does to you in yrs to come and how many really died from it and serious side effects that isn’t be reported!",0.0,0.0,0,3.0,en,2988397462,1453703143561306117,rynandrs,https://twitter.com/rynandrs/status/1453873584003244033,Negative
Thu Oct 28 23:57:27 +0000 2021,1.453873580421251e+18,"@Briankmcneal @Riversong_NC @DrSyedHaider Moreover, the author goes on to state they compiled a comprehensive list of studies, evidence reports, etc. on natural immunity compared to the COVID-19 vaccine-induced immunity  to “allow you to draw your own conclusion.” They’re not stating this as fact, but providing info.",0.0,0.0,0,0.0,en,728115745792528384,1453818230749937668,YourBrainstem,https://twitter.com/YourBrainstem/status/1453873580421251076,Neutral
Thu Oct 28 23:57:00 +0000 2021,1.4538734669778944e+18,"@themood2020 @diaperdon2020 @abiroberts @MarkSlapinski The current non-sterilizing Covid vaccines do not prevent infection &amp  transmission, but only reduce severity of disease. Thus they make risk-benefit sense for certain vulnerable populations as focused protection. Vaccine mandates are NOT justified.  https://t.co/VZbz1VzyQQ",0.0,0.0,0,0.0,en,3241746721,1453754548309331971,wirt_dan,https://twitter.com/wirt_dan/status/1453873466977894403,Positive
Thu Oct 28 23:56:56 +0000 2021,1.4538734494248591e+18,Doctor on CDC's COVID vaccine booster shot recommendations https://t.co/dv0hcRWc2C via @YouTube  DRINK PLENTY FLUIDS ALL DAY. DATE OCTOBER 25TH!,0.0,0.0,0,0.0,en,1284093838873812993,1453873449424859136,RhendellaSykes,https://twitter.com/RhendellaSykes/status/1453873449424859136,Neutral
Thu Oct 28 23:56:55 +0000 2021,1.4538734444504143e+18,Attorney General Ken Paxton joins 20 AGs in letter challenging Biden's COVID-19 vaccine mandate for federal contractors https://t.co/mt67ilfohB,0.0,0.0,0,0.0,en,1901928318,1453873444450414598,Squirrel_MA,https://twitter.com/Squirrel_MA/status/1453873444450414598,Neutral
Thu Oct 28 23:56:54 +0000 2021,1.453873439698215e+18,“Can you please write me an exemption letter for the covid vaccine because it is killing more people than helping and this is a ploy for the rich to take over the poor and clear us out” - 77 years old,0.0,1.0,0,6.0,en,617342043,1453872796682104847,kenaddiii,https://twitter.com/kenaddiii/status/1453873439698214914,Negative
Thu Oct 28 23:56:50 +0000 2021,1.453873424200192e+18,"@JetsenSunday Florida had a covid death rate better than the national average until the vaccine rollout, all while ignoring most covid restrictions",0.0,1.0,0,0.0,en,3754600152,1453853670789898242,eraqbjorn,https://twitter.com/eraqbjorn/status/1453873424200192004,Positive
Thu Oct 28 23:56:40 +0000 2021,1.4538733800635392e+18,@therealrukshan @reignitedemaust   Please tell@me you are all over Australia’s own traditional protein covid vaccine COVAX-19 created by @vaxine_news   We need to do everything we can to fund and approve this…,0.0,0.0,0,1.0,en,1428857226098135040,1453873380063539207,FreeAustraliaAU,https://twitter.com/FreeAustraliaAU/status/1453873380063539207,Neutral
Thu Oct 28 23:56:37 +0000 2021,1.453873369523368e+18,"@QueenSupremeOF1 The covid vaccine completely reset my hormones. I have been a nauseated, pain filled acne MESS since august.   (But i cant fucking imagine the state id be in if i got covid instead)",0.0,1.0,0,0.0,en,2821879377,1453871328579235865,yorokobitattoos,https://twitter.com/yorokobitattoos/status/1453873369523367966,Neutral
Thu Oct 28 23:56:33 +0000 2021,1.4538733514249462e+18,"(6/8) Some local media in Taiwan region used the COVID-19 vaccine purchase as an example of Tsai’s “diplomatic failure”.   Tsai claimed she developed many regional partners to “protect” Taiwan, but the DPP found almost no where to purchase safe vaccines.",0.0,1.0,0,2.0,en,1192148826771120128,1453873343975862286,Panda_Paws_,https://twitter.com/Panda_Paws_/status/1453873351424946205,Negative
Thu Oct 28 23:56:15 +0000 2021,1.4538732759525335e+18,Washington state quietly launches COVID vaccine verification tool https://t.co/9DaKKOWUoO #Waleg,1.0,0.0,2,2.0,en,277104778,1453873275952533506,MercierOnPolicy,https://twitter.com/MercierOnPolicy/status/1453873275952533506,Neutral
Thu Oct 28 23:56:15 +0000 2021,1.453873275487068e+18,@Silkywhale @uklockdown If they already had Covid and question on vaccine: Get vaccinated. The infection protects. But durability is unclear. A repeat exposure to same antigen is how you get durable immunity  If they haven't had Covid: Get vaccinated. Far safer to get immunity thru vaccine than virus.👇,0.0,3.0,0,2.0,en,24261916,1453828571152138240,VincentRK,https://twitter.com/VincentRK/status/1453873275487068161,Positive
Thu Oct 28 23:56:14 +0000 2021,1.4538732745517425e+18,"The covid pre run, many 'medja' outlets and personalities were there then and know the score, they all reported on it including Jon Snow,Pat Kenny, Joe and the rest. The aftermath of this vaccine is being resolved in court now, wake the fk up people https://t.co/iYoDyl8Njf",0.0,0.0,0,0.0,en,771134030767124480,1453873274551742494,Rmd1997Roisin,https://twitter.com/Rmd1997Roisin/status/1453873274551742494,Neutral
Thu Oct 28 23:56:10 +0000 2021,1.4538732572375327e+18,"@Cwmmark I’m in my 50s, double vaxed fairly fit even though slightly overweight. Not afraid of getting Covid as I believe in the vaccine. I am afraid of getting anything else which I might need a hospital bed for which are unavailable as they are being taken up by unvaxed people.",0.0,0.0,0,0.0,en,1232829398,1453482407731081216,angell1967,https://twitter.com/angell1967/status/1453873257237532674,Positive
Thu Oct 28 23:56:10 +0000 2021,1.4538732544315392e+18,@ngtvtyoutlet @milknsugar2014 That’s the media and politicians who keep spewing those “NON facts.” Both the vaccinated and unvaccinated are dying from Covid. Covid is still new. We are learning about it everyday. Why no influenza vaccine mandates? Why no MMR passport? 🤷‍♀️,0.0,0.0,0,0.0,en,1108561951775322112,1449402300569726981,Judithlyn12345,https://twitter.com/Judithlyn12345/status/1453873254431539201,Neutral
Thu Oct 28 23:56:05 +0000 2021,1.453873234441556e+18,@BHappyLoveLaugh @RexChapman But testing allows for public safety AND doesn’t take away civil liberty. Forcing vaccine does neither. We know the vaccine doesn’t prevent getting OR spreading Covid so public servants that had to take a daily BinaxNOW test would ironically be safer than their vaccinated peers.,0.0,3.0,0,0.0,en,94103177,1453774902100701187,Scojo100,https://twitter.com/Scojo100/status/1453873234441555969,Neutral
Sun Jul 18 23:59:57 +0000 2021,1.416910644884869e+18,"@deadeyebrakeman @blaireerskine Kylie and Blair, I would love to hear your take on the women that believe that getting a COVID shot affects your hormones. Or the people who refuse a vaccine because people asking them get a shot are not asking  them nicely.",0.0,0.0,0,0.0,en,58637435,1308474521674899456,bureaucrat2023,https://twitter.com/bureaucrat2023/status/1416910644884869120,Neutral
Sun Jul 18 23:59:53 +0000 2021,1.4169106295799355e+18,@DarknightHimslf Empty covid passport is an information for the Health Departament that you didn't take your vaccine yet,0.0,1.0,0,0.0,en,1334608658857156610,1416539531042598913,RockGirlCutie,https://twitter.com/RockGirlCutie/status/1416910629579935748,Neutral
Sun Jul 18 23:59:52 +0000 2021,1.4169106231500145e+18,"@larrupin35 @azcentral Context via @CDCgov: “FDA requires healthcare providers to report any death after COVID-19 vaccination to VAERS, even if it’s unclear whether the vaccine was the cause.” A report doesn’t necessarily mean that a vaccine caused a health problem. https://t.co/pY3Mupb6VX",0.0,1.0,0,0.0,en,16952753,1416571392305238017,AZDHS,https://twitter.com/AZDHS/status/1416910623150014464,Neutral
Sun Jul 18 23:59:47 +0000 2021,1.4169106032188252e+18,"@j_d_moran @_utdbrad @PoliticsForAlI @luxmy_g Mate 50k cases before vaccine would have had huge deaths and hotspitilisations, now there minimal.  I've had covid and was very ill, but fact is viruses are part of life it's not going away, so we either start to love or live like this his forever",0.0,1.0,0,0.0,en,1063223930352295936,1416892541090373633,Darren40819109,https://twitter.com/Darren40819109/status/1416910603218825217,Positive
Sun Jul 18 23:59:33 +0000 2021,1.4169105450814382e+18,@KatDruer @shamathahaven @_sara_jade_ I don't want to believe that. Nor that Covid has been cynically commercialized instead of being confronted and addressed as a world health pandemic. That vaccines are now more marketing patents faith and propaganda than true science and medicine.,0.0,0.0,0,0.0,en,3304888849,1416772924401278977,PhonkArt,https://twitter.com/PhonkArt/status/1416910545081438209,Negative
Sun Jul 18 23:59:24 +0000 2021,1.4169105077438423e+18,@CapitalArmada @kittiehasspoken .@TwitterSupport .@jack   False information about COVID-19 vaccines.,0.0,1.0,0,5.0,en,51511207,1416904440775430144,DragonCalf,https://twitter.com/DragonCalf/status/1416910507743842305,Negative
Sun Jul 18 23:59:17 +0000 2021,1.416910475967746e+18,All UK adults now inoculated with at least one COVID vaccine dose https://t.co/MYgoLVpF3J,0.0,0.0,0,0.0,en,1092120433476792321,1416910475967746054,MiddleEastTon,https://twitter.com/MiddleEastTon/status/1416910475967746054,Neutral
Sun Jul 18 23:59:14 +0000 2021,1.4169104657629225e+18,@E1onPai9e Yeah. I’m with you. Sadly. NBA showed a bubble was possible…. But he IOC has failed to help Japan get vaccines &amp  failed to create real bubbles to ensure they don’t bring more covid to Japan,0.0,1.0,0,2.0,en,535960492,1416851953687007234,DavidENorman,https://twitter.com/DavidENorman/status/1416910465762922496,Negative
Sun Jul 18 23:59:08 +0000 2021,1.4169104390075228e+18,"According to the CDC’s vaccine adverse reactions portal, there have been 4,006 deaths following Covid-19 vaccinations reported between June 26 and July 9. Same time period, the CDC shows 3,114 deaths attributed to Covid-19. There have been over 28% more vaccine-related deaths.",0.0,0.0,0,0.0,en,400364870,1416910439007522821,plasticmoney888,https://twitter.com/plasticmoney888/status/1416910439007522821,Negative
